# CN 特有外部资源下载浮层与启动检查界面文本清单
# 格式：id<TAB>zhCN<TAB>source<TAB>context
# 动态内容使用 {name} 占位；换行写作 \n。此文件用于人工校对与后续集中修改，不包含纯内部日志。
id	zhCN	source	context
hotupdate.detail.download	{package}：v{local} → v{remote}，正在下载…	CNHotUpdateCheck.java	热更新下载状态
hotupdate.detail.download_failed	{package}：下载失败，已跳过	CNHotUpdateCheck.java	热更新下载失败
hotupdate.phase.apply	应用热更新	CNHotUpdateCheck.java	热更新解压与应用阶段
hotupdate.detail.extract	{package}：正在解压…	CNHotUpdateCheck.java	热更新解压状态
hotupdate.detail.extract_failed	{package}：解压失败，已跳过	CNHotUpdateCheck.java	热更新解压失败
hotupdate.detail.applied	{package}：已更新到 v{version}	CNHotUpdateCheck.java	单项更新完成
hotupdate.phase.complete	更新完成	CNHotUpdateCheck.java	存在更新时的总结阶段
hotupdate.detail.complete	热更新已应用，即将进入游戏	CNHotUpdateCheck.java	存在更新时的总结状态
hotupdate.phase.latest	已是最新	CNHotUpdateCheck.java	无需更新时的总结阶段
hotupdate.detail.latest_all	台词与前端脚本均为最新版本，即将进入游戏	CNHotUpdateCheck.java	无需更新时的总结状态
credit.title	魔法纪录Totentanz中文化	CNCNDownloadUI.java	内置署名标题
credit.core	【核心逆向开发】MadeInMagius【B站ID】	CNCNDownloadUI.java	内置署名
credit.core_note	(独立完成汉化引擎以及下载系统和日服国服资源合并)	CNCNDownloadUI.java	内置署名说明
credit.websites	其他个人网站	CNCNDownloadUI.java	内置署名分组
credit.magireader	magireader.pages.dev【魔法纪录剧情中日双语阅读网站】	CNCNDownloadUI.java	内置网站
credit.live2d	magiaexedralive2dviewer.pages.dev【MagiaExedra和魔法纪录Live2D网站】	CNCNDownloadUI.java	内置网站
credit.call_search	magireco-call-search-cn.pages.dev【魔法少女称呼关系搜索与身高对比网站】	CNCNDownloadUI.java	内置网站
credit.thanks	【协助与鸣谢】	CNCNDownloadUI.java	内置署名分组
credit.translation	国服文件之外的翻译和校对：水银h2oag【阅读器网站为主，资源已同步至游戏】	CNCNDownloadUI.java	内置署名
credit.automation	下载加速及资源自动化推送：CyberNova	CNCNDownloadUI.java	内置署名
credit.archive	国服数据留存：segfault	CNCNDownloadUI.java	内置署名
credit.website	项目官网：www.magireco.top【通往其他个人网站和提供联系方式】	CNCNDownloadUI.java	内置网站
credit.video	bilibili视频教程：BV1faRiBBExk	CNCNDownloadUI.java	内置网站
credit.footer	核心开发: B站 @MadeInMagius【B站xhs tx同名】 | 国内加速+修复：@PhotonFlow | 如果需要联系请先b站私信，会提供群聊 | 该游戏支持后续剧情更新	CNCNDownloadUI.java	底部滚动署名
file.cn_scenario_update	cn_scenario_update.zip	CNCNDownloadUI.java	下载槽位显示名
file.cn_js_update	cn_js_update.zip	CNCNDownloadUI.java	下载槽位显示名
file.cn_base_00_db	cn_base_00_db.zip	CNCNDownloadUI.java	下载槽位显示名
file.cn_base_01_json	cn_base_01_json.zip	CNCNDownloadUI.java	下载槽位显示名
file.cn_base_02	cn_base_02.zip	CNCNDownloadUI.java	下载槽位显示名
file.cn_base_03	cn_base_03.zip	CNCNDownloadUI.java	下载槽位显示名
file.cn_base_04	cn_base_04.zip	CNCNDownloadUI.java	下载槽位显示名
file.cn_base_05	cn_base_05.zip	CNCNDownloadUI.java	下载槽位显示名
file.cn_base_06	cn_base_06.zip	CNCNDownloadUI.java	下载槽位显示名
file.cn_magica_resource	cn_magica_resource.zip	CNCNDownloadUI.java	下载槽位显示名
file.cn_scenario_img	cn_scenario_img.zip	CNCNDownloadUI.java	下载槽位显示名
file.cn_voice_01	cn_voice_01.zip	CNCNDownloadUI.java	下载槽位显示名
file.cn_voice_02_done	cn_voice_02_done.zip	CNCNDownloadUI.java	下载槽位显示名
file.movie	movie.zip	CNCNDownloadUI.java	下载槽位显示名
file.movie2	movie2.zip	CNCNDownloadUI.java	下载槽位显示名
