# 原文	译文	风险	出现次数	出现于
\\x3cdiv class\\x3d'noUser'\\x3e該当するプレイヤーが存在しません\\x3c/div\\x3e			8	js/view/follow/FollowSearchResultView.js,js/view/follow/FollowTopView.js
残り			8	template/campaign/box_gacha/CampaignBoxGachaTop.html,template/campaign/summer_mission/CampaignSummerMissionTop.html,template/formation/DeckFormation.html,…共5处
マギア	Magia	疑似碎片	7	js/_common/nativeCommand.js,js/_common/nativeCommand2.js,js/card/CardPopup.js,…共7处
カ月前			7	js/event/arenaMission/EventArenaMissionResult.js,js/event/arenaranking/view/EventArenaResultView.js,js/quest/SupportSelect.js,…共7处
入れ替え	替换		7	js/quest/secondPartLast/Formation.js,js/regularEvent/extermination/RegularEventExterminationFormation.js,template/patrol/PatrolLumpFormation.html,…共5处
メモリア	记忆结晶		7	js/_common/nativeCommand.js,js/_common/nativeCommand2.js,js/view/memoria/MemoriaComposeTopView.js,…共5处
キモチ戦	心情战		7	js/regularEvent/groupBattle/RegularEventGroupBattleTop.js,js/regularEvent/groupBattle/view/BossPageView.js,js/regularEvent/groupBattle/view/UserPageView.js,…共4处
リロード	重新加载		6	js/_common/_common.js,js/_common/ajaxControl.js,js/top/TopPage.js,…共4处
マギアLv	魔法等级		6	js/_common/nativeCommand.js,js/_common/nativeCommand2.js,js/event/accomplish/EventAccomplishRecovery.js,…共6处
リプレイの保存	保存回放		6	js/event/EventArenaRankMatch/Result.js,js/event/arenaranking/view/EventArenaResultView.js,js/view/arena/ArenaResultView.js
チーム編成	队伍编成		6	js/patrol/view/PatrolDeckView.js,template/patrol/PatrolLumpFormation.html,template/quest/secondPartLast/Formation.html,…共4处
Blastディスク	Blast 圆盘		6	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
サポート編成	支援编成		6	js/_common/nativeCommand.js,js/_common/nativeCommand2.js,template/formation/FormationTop.html,…共6处
メンテナンス	维护中		6	js/view/system/AnnounceView.js,template/user/AnnounceTemp.html,template/user/AnnounceTempMainte.html
アップデート	更新		6	js/view/system/AnnounceView.js,template/user/AnnounceTemp.html,template/user/AnnounceTempMainte.html
使用して	使用		6	template/campaign/box_gacha/CampaignBoxGachaTop.html,template/event/EventArenaRankMatch/parts/AttackCountItemPopup.html,template/event/EventArenaRankMatch/parts/AttackCountPopup.html,…共5处
チーム編成一覧	队伍编成一览		6	template/quest/secondPartLast/BattleConfirm.html,template/quest/secondPartLast/Formation.html,template/quest/secondPartLast/Top.html,…共6处
絵文字は使用できません	不能使用表情符号		6	template/event/accomplish/EventAccomplishDeck.html,template/event/storyraid/EventStoryRaidBoss.html,template/formation/FormationQuest.html,…共6处
装備中のメモリア	装备中的记忆结晶		6	template/memoria/MemoriaComposeTop.html,template/memoria/PieceArchive.html,template/memoria/UserMemoriaList.html
引き継ぎ・連携	数据转移・关联		5	js/top/TopPage.js,template/top/TopPage.html
通信エラー	通信错误		5	js/_common/ajaxControl.js,js/top/TopPage.js
ミッション報酬を			5	js/campaign/summer_mission/CampaignSummerMissionTopView.js,js/regularEvent/groupBattle/RegularEventGroupBattleTop.js,js/view/mission/MissionTopView.js
変更する	变更		5	js/campaign/box_gacha/CampaignBoxGachaTop.js,js/event/arenaMission/EventArenaMissionStage.js,js/event/arenaranking/view/EventArenaRankingView.js,…共5处
サポート	支援		5	js/_common/nativeCommand.js,js/_common/nativeCommand2.js,js/card/CardPopup.js,…共5处
レアリティ	稀有度		5	js/event/accomplish/EventAccomplishRecovery.js,js/quest/QuestUtil.js,js/util/SortUtil.js,…共5处
トップページへ	返回首页		5	js/_common/ajaxControl.js,js/_common/base.js,js/user/MyPage.js
プレイヤーデータ削除	删除玩家数据		5	js/config/DeleteUserData.js
話をクリア	通关话数		5	js/event/arenaranking/view/EventArenaResultView.js,js/quest/QuestUtil.js,js/view/arena/ArenaResultView.js,…共4处
レベル順	按等级		5	js/memoria/MemoriaEquip.js,js/quest/SupportSelect.js,js/view/memoria/MemoriaComposeTopCardListView.js,…共5处
解除する	解除		5	js/event/EventArenaRankMatch/parts/CoolTime.js,js/quest/secondPartLast/Formation.js,js/quest/secondPartLast/parts/StagePartsView.js,…共5处
編成コピー	复制编成		5	js/formation/DeckFormation.js,js/quest/secondPartLast/Formation.js,js/regularEvent/extermination/RegularEventExterminationFormation.js,…共4处
カメラ撮影	相机拍摄		5	js/camera/CameraTop.js,js/event/aprilfool2018/EventAprilFoolTop.js
時間経過の為、対戦相手に変更がありました\\x3cbr\\x3eミラーズトップに戻ります	因时间经过，对手已发生变更\\x3cbr\\x3e将返回镜界首页		5	js/event/arenaranking/view/EventArenaRankingView.js,js/view/arena/ArenaConfirmView.js,js/view/arena/ArenaFreeRankView.js
ミラーズランキング	镜界排名		5	js/event/arenaranking/view/EventArenaResultView.js,js/view/arena/ArenaTopView.js
をプレゼント！			5	js/event/arenaMission/EventArenaMissionTop.js,js/event/dailytower/EventDailyTowerTop.js,js/event/tower/EventTowerTop.js
フォロー数:	关注数：		5	js/follow/FollowPopup.js,js/view/follow/FollowTopListView.js
コネクト	连携		5	js/_common/nativeCommand.js,js/_common/nativeCommand2.js,template/formation/FormationQuest.html,…共5处
デスティニージェム変換	命运宝石转换		5	js/chara/CharaEquip.js,js/view/item/ItemListPartView.js,js/view/item/ItemSalePopupView.js
クエスト開始条件	关卡开始条件		5	js/formation/DeckFormationUtil.js,js/formation/FormationQuest.js,js/view/quest/QuestListPartsView.js
ミラーズID	镜界 ID		5	js/view/arena/ArenaSimulateView.js,template/arena/ArenaSimulate.html
受け取り期限を過ぎているため\\x3cbr\\x3e対象のミッション報酬を受け取ることはできません	已超过领取期限\\x3cbr\\x3e无法领取对应的任务奖励		5	js/regularEvent/groupBattle/RegularEventGroupBattleTop.js,js/view/mission/MissionTopListView.js,js/view/mission/MissionTopView.js
（オファー：COMPLETE）			5	js/view/shop/ShopPopupView.js,js/view/shop/ShopTopView.js,js/view/shop/q.js
(オファー可能：			5	js/view/shop/ShopPopupView.js,js/view/shop/ShopTopView.js,js/view/shop/q.js
レアリティ順	按稀有度		5	js/memoria/MemoriaEquip.js,js/view/memoria/MemoriaComposeTopCardListView.js,js/view/memoria/PieceArchiveView.js,…共5处
フィルタ	筛选		5	template/memoria/MemoriaComposeTop.html,template/memoria/MemoriaEquip.html,template/memoria/PieceArchive.html,…共5处
戦う	战斗		5	template/event/EventWalpurgis/MainBossPopup.html,template/event/EventWalpurgis/SubBossList.html,template/quest/puellaHistoria/lastBattle/MainBossPopup.html,…共5处
はずす		疑似碎片	5	template/gacha/SelectableGachaPieceSelect.html,template/memoria/MemoriaComposeTop.html,template/memoria/MemoriaEquipInfo.html,…共5处
ミラーズ編成	镜界编成		5	template/formation/FormationTop.html,template/memoria/MemoriaComposeTop.html,template/memoria/PieceArchive.html,…共4处
すべて選択	全选		5	template/memoria/bulkSelectPopupView.html
トータルダメージ	总伤害		5	template/regularEvent/groupBattle/RegularEventGroupBattleRanking.html,template/regularEvent/groupBattle/RegularEventGroupBattleUser.html
通信環境の良い所で再度お試しください。	请在网络状况良好的环境下重试。		4	js/_common/ajaxControl.js,js/top/TopPage.js
受け取り期限を過ぎているため<br>対象のミッション報酬を受け取ることはできません		HTML片段	4	js/campaign/summer_mission/CampaignSummerMissionTopListView.js,js/campaign/summer_mission/CampaignSummerMissionTopView.js,js/event/raid/EventRaidCloseTop.js,…共4处
<p class="noMission ts_white">挑戦できるミッションがありません</p>		HTML片段	4	js/campaign/summer_mission/CampaignSummerMissionTopListView.js,js/campaign/summer_mission/CampaignSummerMissionTopView.js
ガチャを引く	进行抽卡		4	js/campaign/box_gacha/CampaignBoxGachaTop.js,js/view/gacha/GachaBtnView.js
エピソードLv	剧情等级		4	js/event/accomplish/EventAccomplishRecovery.js,js/quest/QuestUtil.js,js/util/SortUtil.js,…共4处
戻る	返回		4	js/collection/MagiRepoDetail.js,template/campaign/box_gacha/CampaignBoxGachaTop.html,template/user/AnnounceTemp.html,…共4处
ストーリー	剧情		4	js/quest/QuestUtil.js,template/event/dailytower/EventDailyTowerTop.html,template/event/tower/EventTowerTop.html,…共4处
▼ コメントを選ぶ	▼ 选择留言		4	js/event/EventWalpurgis/parts/GroupRaid/Stamp.js,js/quest/puellaHistoria/lastBattle/parts/GroupRaid/Stamp.js,template/event/EventWalpurgis/Stamp.html,…共4处
チーム全解散	解散所有队伍		4	js/quest/secondPartLast/Formation.js,js/regularEvent/extermination/RegularEventExterminationFormation.js
魔法少女おまかせ編成	魔法少女自动编成		4	js/quest/secondPartLast/Formation.js,js/regularEvent/extermination/RegularEventExterminationFormation.js
制圧状態を解除し、再度制圧前の状態に戻せます。\\x3cbr /\\x3e\\x3cbr /\\x3e\\x3cspan class\\x3d'attention'\\x3e※解除後は再度制圧をする必要があります。\\x3cbr /\\x3e※制圧に参加した魔法少女を再編成できます。\\x3c/span\\x3e			4	js/quest/secondPartLast/Formation.js,js/quest/secondPartLast/parts/StagePartsView.js,js/regularEvent/extermination/RegularEventExterminationFormation.js,…共4处
撮影が完了しました。	拍摄完成。		4	js/camera/CameraTop.js,js/event/aprilfool2018/EventAprilFoolTop.js
が		疑似碎片	4	js/event/EventArenaRankMatch/Utility.js,template/campaign/box_gacha/CampaignBoxGachaTop.html,template/chara/CharaComposeAttribute/popupItemConfirm.html,…共4处
イベント終了	活动已结束		4	js/event/EventArenaRankMatch/parts/AttackCount.js,js/event/EventArenaRankMatch/parts/CoolTime.js,js/formation/DeckFormation.js,…共4处
イベント開催期間外です。	不在活动开放期间。		4	js/event/EventArenaRankMatch/parts/AttackCount.js,js/event/EventArenaRankMatch/parts/CoolTime.js,js/formation/DeckFormation.js,…共4处
魔法少女の回復	魔法少女回复		4	js/event/accomplish/EventAccomplishRecovery.js,js/event/dungeon/EventDungeonMap.js
BPが不足しています。	BP 不足。		4	js/event/arenaMission/EventArenaMissionStage.js,js/event/arenaMission/view/ArenaConfirmView.js,js/view/arena/ArenaConfirmView.js,…共4处
最低1キャラは設定してください	请至少设置 1 名角色		4	js/event/accomplish/EventAccomplishDeck.js,js/formation/FormationQuest.js,js/formation/FormationSupport.js
ミッション報酬を1件受け取りました。\\x3cbr\\x3e\\x3cbr\\x3e※魔法少女はプレゼントボックスよりお受け取りください。\\x3cbr\\x3e※受け取ったアイテムは直接付与されています。			4	js/mission/PanelMissionTop.js,js/view/mission/MissionTopListView.js
ターゲットの選択	选择目标		4	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
オートバトル	自动战斗		4	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
デスティニージェム	命运宝石		4	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
Acceleディスク	Accele 圆盘		4	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
ドッペル	魔女化身		4	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
Chargeの効果	Charge 效果		4	js/_common/nativeCommand.js,js/_common/nativeCommand2.js
有償マギアストーン	付费魔法石		4	js/gacha/GachaResult.js,js/view/gacha/GachaTopView2.js
CCが不足しています	CC 不足		4	js/chara/CharaCompose.js,js/chara/CharaComposeMagia.js,js/chara/CharaCustomize.js,…共4处
精神強化のリセット	重置精神强化		4	js/chara/CharaEnhancementTree.js
ショップへ	前往商店		4	js/chara/CharaComposeAttribute/popupCheckMaterial.js,js/view/gacha/GachaBtnView.js,template/chara/CharaEnhancementMaterialPopup.html,…共4处
フォロー	关注		4	js/view/follow/FollowTopView.js,js/view/quest/QuestResultView.js
アイテム購入	购买道具		4	js/view/shop/ShopPopupView.js
現在商品購入可能な商品がありません。	当前没有可购买的商品。		4	js/view/shop/ShopTopView.js,js/view/shop/q.js
メモリア保管庫	记忆结晶仓库		4	js/view/memoria/PieceArchiveView.js
選択したメモリアを	将所选记忆结晶		4	js/view/memoria/PieceArchiveView.js
から\\x3cbr\\x3e\\x3cspan class\\x3d'c_red'\\x3e			4	js/view/memoria/PieceArchiveView.js
魔法少女を１体以上編成してください。	请至少编成 1 名魔法少女。		4	js/formation/DeckFormation.js,js/formation/DeckFormationUtil.js
イベント編成	活动编成		4	js/formation/FormationTop.js,template/memoria/MemoriaComposeTop.html,template/memoria/PieceArchive.html,…共4处
最大デイリーダメージ	单日最大伤害		4	template/regularEvent/groupBattle/RegularEventGroupBattleRanking.html,template/regularEvent/groupBattle/RegularEventGroupBattleUser.html,template/user/EventRecord.html
バトル		疑似碎片	4	template/event/raid/EventRaidRewardParts.html,template/event/raid/EventRaidTop.html
指定無し	不指定		4	template/follow/FollowSearch.html
セット		疑似碎片	4	template/chara/CharaBulkCustomizePopup.html,template/chara/CharaCustomize.html,template/gacha/SelectableGachaPieceSelect.html,…共4处
クエスト編成	关卡编成		4	template/formation/FormationTop.html,template/memoria/MemoriaComposeTop.html,template/memoria/PieceArchive.html,…共4处
編成中のチームで、	在编成中的队伍里，		4	template/memoria/MemoriaEquip.html,template/memoria/PieceArchive.html,template/memoria/UserMemoriaList.html
が装備中です。	正在装备。		4	template/memoria/MemoriaEquip.html,template/memoria/PieceArchive.html,template/memoria/UserMemoriaList.html
自分の所属グループ：	自己所属的小组：		4	template/regularEvent/groupBattle/RegularEventGroupCommon.html
グループに所属していません	未加入任何小组		4	template/regularEvent/groupBattle/RegularEventGroupCommon.html
期間外のため<br>対象のミッションは存在しません		HTML片段	3	js/campaign/summer_mission/CampaignSummerMissionTopListView.js,js/campaign/summer_mission/CampaignSummerMissionTopView.js
セット内容	组合内容		3	js/campaign/summer_mission/CampaignSummerMissionTopListView.js,js/view/mission/MissionTopListView.js,js/view/shop/ShopTopPartsView.js
八雲 みたま	八云 御魂		3	js/campaign/quiz/CampaignQuizTop.js,template/campaign/quiz/CampaignQuizTop.html,template/event/training/EventTrainingCharaSelect.html
ボックス内容の変更	变更箱内容		3	js/campaign/box_gacha/CampaignBoxGachaTop.js
所持可能なメモリアの上限を100枠以上超えています。\\x3cbr\\x3eメモリアの所持枠を空けてください。	记忆结晶持有数已超出上限 100 格以上。\\x3cbr\\x3e请先腾出记忆结晶的持有格。		3	js/campaign/box_gacha/CampaignBoxGachaTop.js,js/view/gacha/GachaBtnView.js
メモリアへ	前往记忆结晶		3	js/campaign/box_gacha/CampaignBoxGachaTop.js,js/view/gacha/GachaBtnView.js
マギアレコード運営事務局より	来自魔法纪录运营事务局		3	js/user/MyPage.js
ランク順	按等级排名		3	js/quest/SupportSelect.js,js/view/arena/ArenaSimulateView.js,template/arena/ArenaSimulate.html
「みたまの撮影会」は終了しました。	「御魂的摄影会」已结束。		3	js/camera/CameraTop.js,js/event/aprilfool2018/EventAprilFoolTop.js
◆ ストーリークエスト	◆ 剧情关卡		3	js/event/dailytower/EventDailyTowerTop.js,js/event/tower/EventTowerTop.js,js/event/training/EventTrainingTop.js
保存しない	不保存		3	js/event/EventArenaRankMatch/Result.js,js/event/arenaranking/view/EventArenaResultView.js,js/view/arena/ArenaResultView.js
保存する	保存		3	js/event/EventArenaRankMatch/Result.js,js/event/arenaranking/view/EventArenaResultView.js,js/view/arena/ArenaResultView.js
リプレイデータの保存に失敗しました。	回放数据保存失败。		3	js/event/EventArenaRankMatch/Result.js,js/event/arenaranking/view/EventArenaResultView.js,js/view/arena/ArenaResultView.js
メインストーリー\\x26nbsp;	主线剧情\\x26nbsp;		3	js/event/arenaranking/view/EventArenaResultView.js,js/view/arena/ArenaResultView.js,js/view/arena/ArenaTopView.js
チャレンジ	挑战		3	js/event/EventWitch/parts/TopBattleInfo.js,template/event/dailytower/EventDailyTowerTop.html,template/event/tower/EventTowerTop.html
リタイア	放弃		3	js/event/dungeon/EventDungeonMap.js,template/event/dungeon/EventDungeonMap.html
クエストを開始できません	无法开始关卡		3	js/event/raid/EventRaidTop.js,js/event/storyraid/EventStoryRaidTop.js,js/regularEvent/groupBattle/view/BossPageView.js
時間経過の為、対戦相手に変更がありました<br>イベントトップページに戻ります		HTML片段	3	js/event/arenaMission/EventArenaMissionStage.js,js/event/arenaMission/view/ArenaConfirmView.js
チーム編成の終了	结束队伍编成		3	js/event/accomplish/EventAccomplishDeck.js,js/formation/DeckFormation.js,js/formation/FormationQuest.js
変更を破棄して終了	放弃变更并退出		3	js/event/accomplish/EventAccomplishDeck.js,js/formation/DeckFormation.js,js/formation/FormationQuest.js
変更を保存して終了	保存变更并退出		3	js/event/accomplish/EventAccomplishDeck.js,js/formation/DeckFormation.js,js/formation/FormationQuest.js
コマンド	指令		3	js/event/accomplish/EventAccomplishEnemyDetail.js,js/regularEvent/accomplish/RegularEventAccomplishTop.js,template/event/accomplish/EventAccomplishEnemyDetail.html
ミラーズについて	关于镜界		3	js/follow/FollowPopup.js,js/view/user/GlobalMenuView.js,js/view/user/MyProfilePopup.js
フォロー追加	添加关注		3	js/follow/FollowPopup.js,js/view/follow/FollowTopListView.js,js/view/quest/QuestResultView.js
スキル		疑似碎片	3	js/_common/nativeCommand.js,js/_common/nativeCommand2.js,template/memoria/bulkSelectPopupView.html
強化できません	无法强化		3	js/chara/CharaCompose.js
クリップボードにコピーしました。	已复制到剪贴板。		3	js/view/arena/ArenaSimulateView.js,js/view/etc/HelpView.js,js/view/user/MyProfilePopup.js
クエストについて	关于关卡		3	js/view/user/GlobalMenuView.js
ミラーズ設定	镜界设置		3	js/view/user/MyProfilePopup.js
現在受取ることのできるプレゼントがありません	当前没有可领取的礼物		3	js/view/present/PresentListPageView.js
リプレイID	回放 ID		3	js/view/arena/ArenaHistoryView.js,template/arena/ArenaHistory.html,template/arena/ArenaResult.html
ミラーズランキングの結果集計中	镜界排名结果统计中		3	js/view/arena/ArenaTopView.js
プレイヤー	玩家		3	js/view/follow/FollowTopView.js
期間外のため\\x3cbr\\x3e対象のミッションは存在しません	不在开放期间内\\x3cbr\\x3e对应的任务不存在		3	js/view/mission/MissionTopListView.js,js/view/mission/MissionTopView.js
件受け取りました。\\x3cbr\\x3e\\x3cbr\\x3e※魔法少女はプレゼントボックスよりお受け取りください。\\x3cbr\\x3e※受け取ったアイテムは直接付与されています。			3	js/view/mission/MissionTopView.js
\\x3cp class\\x3d"noItems"\\x3eデスティニージェムを所持していません\\x3c/p\\x3e			3	js/view/item/ItemListPartView.js,js/view/item/ItemListView.js
メモリア売却	出售记忆结晶		3	js/view/memoria/UserMemoriaListView.js
コピー		疑似碎片	3	js/formation/DeckFormation.js,template/arena/ArenaResult.html,template/arena/ArenaSimulate.html
バトル開始には、	开始战斗需要		3	js/formation/DeckFormation.js,js/formation/DeckFormationUtil.js
お任せ編成	自动编成		3	js/formation/DeckFormation.js,template/quest/PreQuestPopup.html
チーム解散	解散队伍		3	js/formation/FormationQuest.js,template/event/accomplish/EventAccomplishDeck.html,template/formation/FormationQuest.html
キモチ戦は	心情战		3	js/regularEvent/RegularEventTop.js,js/regularEvent/groupBattle/RegularEventGroupBattleTop.js
終の結界	终之结界		3	js/regularEvent/extermination/RegularEventExterminationBattleSelect.js,js/regularEvent/extermination/RegularEventExterminationFormation.js,js/regularEvent/extermination/view/RegularEventExterminationBattleSelectStagePartsView.js
マギアストーンは無償分から先に消費され、決定後のキャンセルはできません。	魔法石会优先消耗免费部分，确认后无法取消。		3	template/event/EventArenaRankMatch/parts/AttackCountPopup.html,template/event/EventArenaRankMatch/parts/CoolTimePopup.html,template/user/APPopupForMoney.html
設定なし	未设置		3	template/user/SetTitlePopup.html
使用スキル	使用的技能		3	template/quest/secondPartLast/EnemyDetailPopup.html,template/regularEvent/accomplish/RegularEventAccomplishTop.html,template/regularEvent/extermination/RegularEventExterminationDifficultyPopupView.html
入れ替えるチームを選択してくだい	请选择要更换的队伍		3	template/patrol/PatrolLumpFormation.html,template/quest/secondPartLast/Formation.html,template/regularEvent/extermination/RegularEventExterminationFormation.html
制限ターン数	回合限制		3	template/event/raid/EventRaidTop.html,template/event/singleraid/EventSingleRaidSelect.html,template/event/storyraid/EventStoryRaidSelect.html
（本日残り対戦回数	（本日剩余对战次数		3	template/event/EventArenaRankMatch/parts/AttackCountItemPopup.html,template/event/EventArenaRankMatch/parts/AttackCountPopup.html
次の回復まで&nbsp;	距离下次回复&nbsp;		3	template/arena/ArenaInfoParts.html,template/event/dungeon/EventDungeonInfoParts.html,template/event/raid/EventRaidInfoParts.html
編成するチームをタッチしてください	请点击要编成的队伍		3	template/event/accomplish/EventAccomplishDeck.html,template/formation/FormationQuest.html,template/formation/ProfileFormationSupport.html
撃破ミッション	击破任务		3	template/event/raid/EventRaidCloseTop.html,template/event/raid/EventRaidTop.html
バトル参加者	战斗参加者		3	template/event/raid/EventRaidTop.html
ランキング報酬	排名奖励		3	template/arena/ArenaReward.html,template/regularEvent/groupBattle/RegularEventGroupCommon.html
ディスク	圆盘		3	template/chara/CharaDetail.html,template/formation/FormationQuest.html,template/formation/FormationSupport.html
必要なCC	所需 CC		3	template/chara/CharaEnhancementTree.html,template/memoria/MemoriaComposeTop.html
ソート順	排序方式		3	template/memoria/MemoriaComposeTop.html,template/memoria/PieceArchive.html,template/memoria/UserMemoriaList.html
全ての編成から装備をはずしますか？	要从所有编成中卸下装备吗？		3	template/memoria/MemoriaComposeTop.html,template/memoria/PieceArchive.html,template/memoria/UserMemoriaList.html
装備中の編成	装备中的编成		3	template/memoria/MemoriaComposeTop.html,template/memoria/PieceArchive.html,template/memoria/UserMemoriaList.html
全ての編成から装備をはずします。	将从所有编成中卸下装备。		3	template/memoria/MemoriaComposeTop.html,template/memoria/PieceArchive.html,template/memoria/UserMemoriaList.html
イベントフィルタ	活动筛选		3	template/memoria/MemoriaEquip.html,template/memoria/PieceArchive.html,template/memoria/UserMemoriaList.html
の装備を外して	卸下装备后		3	template/memoria/MemoriaEquip.html,template/memoria/PieceArchive.html,template/memoria/UserMemoriaList.html
が装備しますか？	要装备吗？		3	template/memoria/MemoriaEquip.html,template/memoria/PieceArchive.html,template/memoria/UserMemoriaList.html
デフォルト名	默认名称		3	template/memoria/MemoriaSetList.html,template/memoria/PieceArchive.html,template/memoria/UserMemoriaList.html
いいね		疑似碎片	3	template/regularEvent/groupBattle/RegularEventGroupBattleBoss.html,template/regularEvent/groupBattle/RegularEventGroupBattleUser.html,template/regularEvent/groupBattle/RegularEventGroupCommon.html
グループ	小组		3	template/regularEvent/groupBattle/RegularEventGroupBattleLog.html,template/regularEvent/groupBattle/RegularEventGroupBattleRanking.html,template/regularEvent/groupBattle/RegularEventGroupCommon.html
キャッシュクリア	清除缓存		2	js/top/TopPage.js,template/top/TopPage.html
ミッション報酬を1件受け取りました。<br><br>※魔法少女はプレゼントボックスよりお受け取りください。<br>※受け取ったアイテムは直接付与されています。		HTML片段	2	js/campaign/summer_mission/CampaignSummerMissionTopListView.js
ストーリー確認	查看剧情		2	js/campaign/summer_mission/CampaignSummerMissionTopListView.js,js/view/mission/MissionTopListView.js
ストーリーがありません	没有剧情		2	js/campaign/summer_mission/CampaignSummerMissionTopListView.js,js/view/mission/MissionTopListView.js
カ月			2	js/campaign/summer_mission/CampaignSummerMissionTopView.js,js/view/mission/MissionTopView.js
★八雲みたまのマギレコミラクルクイズ★%0a［難易度：			2	js/campaign/quiz/CampaignQuizTop.js
］%0aマギアレコードではクイズキャンペーンを開催中！%0a			2	js/campaign/quiz/CampaignQuizTop.js
ボックス内のすべてのアイテムを獲得したため、\\x3cbr\\x3eボックス内容をリセットして、次のボックスに変更しました。	已获得箱内全部道具，\\x3cbr\\x3e已重置箱内容并切换到下一个箱。		2	js/campaign/box_gacha/CampaignBoxGachaTop.js
バランス	均衡		2	js/card/CardPopup.js,js/util/CardUtil.js
アタック	攻击		2	js/card/CardPopup.js,js/util/CardUtil.js
ディフェンス	防御		2	js/card/CardPopup.js,js/util/CardUtil.js
ヒール		疑似碎片	2	js/card/CardPopup.js,js/util/CardUtil.js
アルティメット	究极		2	js/card/CardPopup.js,js/util/CardUtil.js
円環マギア	圆环Magia		2	js/card/CardPopup.js,js/util/CardUtil.js
