line	rule	ja	current_zhCN	confidence	reason	old_cn_arm64_occurrences	old_cn_armv7_occurrences
24	exact	Wi-Fiなど安定した通信環境をお勧めいたします。	建议使用Wi-Fi等稳定的网络环境。	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
25	exact	10連 - レアカード	10连 - 稀有卡牌	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
26	exact	単発 - レアカード	单发 - 稀有卡牌	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
27	exact	単発 - 通常カード	单发 - 普通卡牌	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
28	exact	単発 - レアメモリア	单发 - 稀有记忆结晶	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
29	exact	単発 - 通常メモリア	单发 - 普通记忆结晶	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
30	exact	使用禁止文字列が含まれています。	包含禁止使用的字符串。	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
31	exact	プレイヤー名を入力してください	请输入玩家名	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
32	exact	※後から変更可能です（当日中の変更はできません）	※之后可以更改(当天内无法更改)	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
33	exact	入力エラー	输入错误	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
34	exact	APが全回復しました！	AP已全部回复！	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
35	exact	"に問題があります！】
"	"有问题！】
"	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
36	exact	]は禁止です!! (	]禁止使用!! (	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
37	exact	敵からのダメージを 	无效化来自敌方的伤害 	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
38	exact	だけ無効化する	 次	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
39	exact	デバフを反射します	反射减益	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
40	exact	（あと	（剩余	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
41	exact	敵から受けるダメージが 	受到敌方的伤害提升 	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
42	exact	上昇する		fuzzy_review	intentional_empty_translation_requires_context	0	0
43	exact	プールシャッフル	重洗圆盘	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
44	exact	ディスク再配布	圆盘重新配发	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
45	exact	ナビ再配布	导航重新配发	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
46	exact	所持なし	未持有	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
47	exact	使用済み	已使用	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
48	exact	対象なし	无对象	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
49	exact	隣接してない	未相邻	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
50	exact	発動済み	已发动	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
51	exact	助っ人不可	不可助战	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
52	exact	アクセル	Accele	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
53	exact	ブラスト	Blast	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
54	exact	チャージ	Charge	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
55	exact	マギア	Magia	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	2
56	exact	MPゲージ	MP槽	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
57	exact	Cディスク	Charge圆盘	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
58	exact	MPブーストUp	MP增幅UP	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
59	exact	ドッペル	魔女化身	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
60	exact	チャージ後攻撃弱点	Charge后攻击弱点	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
61	exact	被ダメージ上昇	受到伤害提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
62	exact	コネクト	连携	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
63	exact	フィールド	场地	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
64	exact	"マギアストーン5個を消費して
魔法少女のHPを全回復しますか？"	"消耗5个魔法石，
要全部回复魔法少女的HP吗？"	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
65	exact	"決定後、すぐにアイテムが購入されマギアストーンが消費されます。
マギアストーンは無償分から先に消費され、決定後のキャンセルはできません。"	"确定后将立即购买道具并消耗魔法石。
魔法石优先消耗免费部分，确定后无法取消。"	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
66	exact	マギア·スキル発動	Magia·技能发动	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
67	exact	マギア·スキルを所持しておりません。	未持有Magia·技能。	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
68	exact	発動する	发动	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
69	exact	あと 	还有	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
70	exact	エントリー	报名	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
71	exact	エントリー中	报名中	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
72	exact	スキル：	技能：	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
73	exact	マギア：	Magia：	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
74	exact	ドッペル：	魔女化身：	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
75	exact	マギアUp	Magia UP	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
76	exact	マギアによるダメージが上昇	Magia伤害提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
77	exact	悪い状態にかかる確率が減少	陷入异常状态的概率减少	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
78	exact	アクセルUp	Accele UP	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
79	exact	アクセルディスク使用時のマギアゲージ獲得量が上昇	使用Accele圆盘时Magia槽获得量提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
80	exact	チャージUp	Charge UP	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
81	exact	チャージを消費した際のダメージが上昇	消耗Charge时伤害提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
82	exact	ブラストUp	Blast UP	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
83	exact	ブラストディスクのダメージが上昇	Blast圆盘伤害提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
84	exact	攻撃力が減少	攻击力减少	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
85	exact	防御力が減少	防御力减少	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
86	exact	与えるダメージを減少	造成伤害减少	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
87	exact	マギアDown	Magia DOWN	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
88	exact	マギアによるダメージが減少	Magia伤害减少	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
89	exact	悪い状態にかかる確率が上昇	陷入异常状态的概率提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
90	exact	アクセルDown	Accele DOWN	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
91	exact	アクセルディスク使用時のマギアゲージ獲得量が減少	使用Accele圆盘时Magia槽获得量减少	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
92	exact	チャージDown	Charge DOWN	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
93	exact	チャージを消費した際のダメージが減少	消耗Charge时伤害减少	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
94	exact	ブラストDown	Blast DOWN	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
95	exact	ブラストディスクのダメージが減少	Blast圆盘伤害减少	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
96	exact	MPゲージダウン	MP槽DOWN	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
97	exact	スタン	眩晕	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
98	exact	行動不能＋弱点属性からのダメージが上昇	无法行动＋受到弱点属性伤害提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
99	exact	行動不能＋弱点属性からのダメージが上昇＋HP回復不能	无法行动＋受到弱点属性伤害提升＋HP无法回复	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
100	exact	毎ターンダメージ	每回合伤害	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
101	exact	やけど	烧伤	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
102	exact	毎ターンダメージ＋弱点属性からのダメージが上昇	每回合伤害＋受到弱点属性伤害提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
103	exact	呪い	诅咒	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
104	exact	毎ターンダメージ＋弱点からのダメージが上昇＋HP回復不能	每回合伤害＋受到弱点伤害提升＋HP无法回复	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
105	exact	確率で攻撃が失敗	概率攻击失败	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
106	exact	確率で攻撃が失敗＋弱点属性からのダメージが上昇	概率攻击失败＋受到弱点属性伤害提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
107	exact	確率で攻撃が失敗＋弱点属性からのダメージが上昇＋HP回復不能	概率攻击失败＋受到弱点属性伤害提升＋HP无法回复	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
108	exact	スキル不可	技能封印	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
109	exact	スキルが使用不能	无法使用技能	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
110	exact	マギア不可	Magia封印	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
111	exact	マギアが使用不能	无法使用Magia	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
112	exact	クリティカル	暴击	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
113	exact	確率で与えるダメージが大きく上昇	概率使造成伤害大幅提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
114	exact	受けるダメージが減少	受到伤害减少	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
115	exact	確率で攻撃を回避	概率回避攻击	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
116	exact	攻撃対象の回避を無効化	使攻击目标的回避无效化	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
117	exact	毎ターンHP回復	每回合回复HP	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
118	exact	スキルクイック	技能冷却加速	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
119	exact	スキルの発動待ちターンが減少	技能发动等待回合减少	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
120	exact	確率で攻撃対象の防御力を無視して攻撃	概率无视攻击目标的防御力进行攻击	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
121	exact	カウンター	反击	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
122	exact	確率で敵の攻撃後に反撃	概率在敌方攻击后反击	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
123	exact	確率で味方の攻撃後に攻撃	概率在我方攻击后追击	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
124	exact	カウンター無効	反击无效	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
125	exact	攻撃対象のカウンターを無効化	使攻击目标的反击无效化	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
126	exact	HP連動マギアアップ	HP联动Magia提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
127	exact	残HPが低いほどマギアのダメージが上昇	剩余HP越低，Magia伤害越高	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
128	exact	耐える	忍耐	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
129	exact	致死ダメージを受けてもHP1で生存	受到致命伤害也以HP1存活	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
130	exact	敵の攻撃時、ターゲットを自分に変更	敌方攻击时，将目标改为自己	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
131	exact	かばう	掩护	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
132	exact	仲間の代わりに攻撃を受ける	代替队友承受攻击	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
133	exact	状態異常ダメージアップ	异常状态伤害提升	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
134	exact	攻撃対象が悪い状態時に与えるダメージが上昇	攻击目标处于异常状态时伤害提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
135	exact	サヴァイヴ	Survive	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
136	exact	致死ダメージを受けても1ターン生存、次ターンにHP回復	受到致命伤害也存活1回合，下回合回复HP	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
137	exact	毎ターンMP回復	每回合回复MP	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
138	exact	ダメージカット無視	无视伤害削减	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
139	exact	攻撃対象のダメージカットを無効化	使攻击目标的伤害削减无效化	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
140	exact	Acceleダメージカット	Accele伤害削减	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
141	exact	Acceleによるダメージが減少	Accele伤害减少	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
142	exact	Blastダメージカット	Blast伤害削减	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
143	exact	Blastによるダメージが減少	Blast伤害减少	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
144	exact	Chargeダメージカット	Charge伤害削减	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
145	exact	Chargeによるダメージが減少	Charge伤害减少	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
146	exact	Charge後ダメージカット	Charge后伤害削减	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
147	exact	チャージ後のみダメージを減少	仅Charge后伤害减少	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
148	exact	マギアダメージカット	Magia伤害削减	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
149	exact	火属性ダメージカット 	火属性伤害削减	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
150	exact	火属性からのダメージが減少	受到火属性伤害减少	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
151	exact	水属性ダメージカット	水属性伤害削减	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
152	exact	水属性からのダメージが減少	受到水属性伤害减少	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
153	exact	木属性ダメージカット	木属性伤害削减	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
154	exact	木属性からのダメージが減少	受到木属性伤害减少	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
155	exact	光属性ダメージカット	光属性伤害削减	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
156	exact	光属性からのダメージが減少	受到光属性伤害减少	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
157	exact	闇属性ダメージカット	暗属性伤害削减	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
158	exact	闇属性からのダメージが減少	受到暗属性伤害减少	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
159	exact	無属性ダメージカット	无属性伤害削减	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
160	exact	無属性からのダメージが減少	受到无属性伤害减少	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
161	exact	クリティカル無効	暴击无效	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
162	exact	受けたクリティカルを1回無効にする	使受到的暴击无效1次	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
163	exact	対魔女ダメージアップ	对魔女伤害上升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
164	exact	魔女へのダメージが上昇	对魔女伤害提升	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
165	exact	CディスクダメージUp	Charge圆盘伤害UP	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
166	exact	チャージディスクのダメージが上昇	Charge圆盘伤害提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
167	exact	CディスクダメージDown	Charge圆盘伤害DOWN	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
168	exact	チャージディスクのダメージが減少	Charge圆盘伤害减少	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
169	exact	MP100以上の際にMPゲージアップ	MP100以上时MP槽提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
170	exact	チャージコンボプラス	Charge连击数提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
171	exact	チャージコンボ時のコンボ数UP	Charge连击时连击数UP	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
172	exact	デバフ無効	减益无效	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
173	exact	1回デバフを無効化する	无效化1次减益	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
174	exact	敵陣の挑発を無視する	无视敌方挑衅	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
175	exact	ドッペルUp	魔女化身 UP	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
176	exact	ドッペルによるダメージが上昇	魔女化身伤害提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
177	exact	弱体[アクセル]	弱化[Accele]	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
178	exact	アクセルディスクによる被ダメージが上昇	受到Accele圆盘伤害提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
179	exact	弱体[ブラスト]	弱化[Blast]	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
180	exact	ブラストディスクによる被ダメージが上昇	受到Blast圆盘伤害提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
181	exact	弱体[チャージ]	弱化[Charge]	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
182	exact	チャージを消費した攻撃による被ダメージが上昇	受到消耗Charge的攻击伤害提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
183	exact	弱体[チャージＤ]	弱化[Charge D]	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	1
184	exact	チャージディスクによる被ダメージが上昇	受到Charge圆盘伤害提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
185	exact	ブラスト時MPゲージUp	Blast攻击时MP槽UP	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
186	exact	ブラストディスクでの攻撃時にMPゲージUp	Blast圆盘攻击时MP槽UP	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
187	exact	水属性攻撃による被ダメージが上昇	受到水属性攻击伤害提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
188	exact	被攻撃時MPゲージUp	受击时MP槽UP	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
189	exact	通常攻撃を受けた時にMPゲージUp	受到普通攻击时MP槽UP	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
190	exact	光属性攻撃による被ダメージが上昇	受到光属性攻击伤害提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
191	exact	ヴァリアブル	Variable	exact_authoritative	current_translation_is_complete_c_string_in_both_official_cn_abis	1	2
192	exact	敵の属性を問わず、自身の攻撃を属性有利として扱う	无视敌方属性，自身攻击视为属性克制	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
193	exact	闇属性攻撃による被ダメージが上昇	受到暗属性攻击伤害提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
194	exact	受けた状態異常を1回無効にする	使受到的异常状态无效1次	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
195	exact	Charge消費なし	Charge无消耗	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
196	exact	自身の攻撃時、確率でチャージを消費せずに攻撃を行う	自身攻击时，概率不消耗Charge进行攻击	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
197	exact	火属性の攻撃力が上昇	火属性攻击力提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
198	exact	闇属性の攻撃力が上昇	暗属性攻击力提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
199	exact	光属性の攻撃力が上昇	光属性攻击力提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
200	exact	水属性の攻撃力が上昇	水属性攻击力提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
201	exact	木属性の攻撃力が上昇	木属性攻击力提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
202	exact	木属性攻撃による被ダメージが上昇	受到木属性攻击伤害提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
203	exact	状態異常の種類数に応じて被ダメージが上昇	按异常状态种类数提升受到伤害	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
204	exact	バリア	屏障	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
205	exact	瀕死時に攻撃力が上昇	濒死时攻击力提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
206	exact	瀕死時に防御力が上昇	濒死时防御力提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
207	exact	火属性攻撃による被ダメージが上昇	受到火属性攻击伤害提升	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
208	exact	デバフ反射	减益反射	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
209	exact	クエストデータの読み込みに失敗しました。	关卡数据读取失败。	fuzzy_review	current_translation_not_found_as_complete_c_string_in_both_abis	0	0
